Periodo;ID Estudiante;Comunicación Verbal40;Autonomía e Iniciativa44;Compromiso Ético45;Disposición al Aprendizaje46;Taller Manejo Tiempo (Opcional);Taller Comunicación (Opcional);Taller Situaciones Difíciles (Opcional);Sesión Individual (Opcional)
201520;161624566974336000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161808097088228000;5;3;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161804760008141000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161642234069193000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161627672234831000;5;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161804449471581000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161643443430491000;5;5;5;5;Asiste;No Asiste;No Asiste;No Asiste
201520;161788087995210000;5;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161793971853054000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161806856539973000;1;1;5;1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161948884339128000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161807418084573000;3;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161640937870484000;3;3;5;5;Asiste;No Asiste;Asiste;Asiste
201520;161808315914354000;3;5;5;5;Asiste;No Asiste;No Asiste;Asiste
201520;161807260401464000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;Asiste
201520;161305418275458000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161783298288919000;3;5;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161804370630740000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161783140617562000;3;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161805488885281000;5;1;5;3;No Aplica;No Aplica;No Aplica;No Aplica
201520;161965933278607000;5;3;5;5;No Asiste;No Asiste;No Asiste;Asiste
201520;161641590793750000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161644506449943000;5;5;5;5;Asiste;Asiste;Asiste;No Asiste
201520;161642803369028000;5;1;5;3;No Asiste;No Asiste;Asiste;No Asiste
201520;161786915097863000;5;3;5;3;No Asiste;No Asiste;No Asiste;Asiste
201520;161641013455129000;5;3;5;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161782847799533000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161629251410337000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161949748757198000;5;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161477787004768000;5;5;5;5;No Aplica;No Aplica;No Aplica;No Aplica
201520;161624563758132000;3;3;5;5;No Asiste;No Asiste;No Asiste;No Asiste
201520;161808568529992000;5;1;3;3;No Asiste;No Asiste;No Asiste;No Asiste
201520;161952087687675000;-1;-1;-1;-1;No Asiste;No Asiste;No Asiste;No Asiste
201520;161480362024901000;5;5;5;5;No Asiste;No Asiste;No Asiste;No Asiste
