id;;;INT;PRIMARY KEY
anhoEvento;;;INT;
semestreEvento;;;VARCHAR(2);
cuatrimestreEvento;;;VARCHAR(2);
mesEvento;;;INT;
diaEvento;;;INT;
idEvento;;;INT;PRIMARY KEY
nombreEvento;;;VARCHAR (200);
categoriaEvento;;;VARCHAR (200);
tipoEvento;;;VARCHAR(5);
codigoEvento;;;VARCHAR (100);
areaFacultad;;;VARCHAR (20);
facultad;;;VARCHAR (100);
departamento;;;VARCHAR (200);
edadEgresado;;;INT;
generoEgresado;;;VARCHAR (1);
celularPrincipalEgresado;;;VARCHAR (1);
emailEgresado;;;VARCHAR (1);
nivelVinculacionEgresado;;;VARCHAR(10);
indiceRelacionamiento;;;FLOAT(2);
idPerfilPractica;;;INT;
idPerfilPersonal;;;INT;
idPerfilGrado;;;INT;
beneficiarioQE;;;VARCHAR (1);
gradoEgresado;;;VARCHAR (200);
nivelGrado;;;VARCHAR (20);
semestreGrado;;;VARCHAR (100);
paisResidenciaActual;;;VARCHAR (20);
estadoResidenciaActual;;;VARCHAR (200);
ciudadResidenciaActual;;;VARCHAR (200);
empresaActual;;;VARCHAR (200);
cargoActual;;;VARCHAR (200);
donante;;;VARCHAR (1);
profesor;;;VARCHAR (1);
fechaActualizacion;;;DATE;
fechaExpiracion;;;DATE;
idPerfilPractica;;;INT;
comunicacionVerbal;;;INT;
autonomiaEIniciativa;;;INT;
compromisoEtico;;;INT;
disposicionAlAprendizaje;;;INT;
semestrePractica;;;VARCHAR (10);
idInscripcion;;;INT;PRIMARY KEY
asistencia;;;INT;
inscripcion;;;INT;
idEgresado;;;INT;
idEvento;;;INT;
idFechaInicio;;;INT;
idFechaFin;;;INT;
idUnidadAcademica;;;INT;
