llave anónima vde,llave ctp
1028939,161459510095501000
1123048,161300084693625000
1134438,161793971853054000
1184123,161814044062635000
1187198,161782849408423000
1189429,161809286152562000
1190139,162268090193418000
1194287,161644731598233000
1196349,161781493117373000
1271846,161629338249132000
1548314,161952301781948000
1649789,161478161522650000
1649902,161468073802134000
1651759,161643490068185000
1658619,161642946498240000
1661895,161643070329182000
1800773,161308477092295000
2071967,161466540419052000
2332721,160197035023304000
2769762,161317258499667000
3046212,161808299824193000
3511731,161629470115496000
3518063,161808426936489000
3519958,161806574963534000
3536378,161791798175854000
3540181,161782847799533000
3543679,161808389929106000
3545132,161947398575657000
3545164,161477963815731000
3545294,161961841193729000
3545958,162109293499904000
3546474,161945256062002000
3548117,161790708929337000
3548243,161949405887184000
3548446,161788598021857000
3548788,161804957915017000
3549277,161468658868457000
3550057,161949602272781000
3551410,161645098268641000
3552320,161952316269536000
3553148,161783298288919000
3553284,161804399592679000
3554417,162112414687060000
3554614,161624607176897000
3555272,161642377198153000
3557235,161632517529979000
3567692,161644363320040000
3568906,161946014230128000
3570042,161463359556401000
3571514,162427030720417000
3573575,161948417522135000
3580999,161480834596368000
3584084,161645072537371000
3625606,161787626236762000
3636176,161954858046312000
3638793,161806146967817000
3646170,161805112379004000
3648288,161641505559849000
3649071,161477309615651000
3649206,161947858952342000
3649552,161481109459683000
3649819,161804459125562000
3651159,161138390523657000
3651565,162427079083105000
3651853,161788623764548000
3652758,161786421162942000
3653745,161806743909368000
3661209,161624140827502000
3672748,161320722289200000
3680152,161308372667922000
3680678,161641187139062000
3680740,161950143138648000
3682214,161791325149590000
3682720,161951723888708000
3683107,161629309302864000
3684664,161950222014995000
3687444,162129636514337000
3697789,161964078794712000
3697958,162132029894064000
3698015,161782170457744000
3698066,161786434034200000
3698373,162132368125463000
3698756,162107344786318000
3698915,162107658834410000
3698958,162108024418982000
3699101,162108475360873000
3699223,162108768473438000
3699841,161965249114476000
3699890,161965323165112000
3700037,161965384337390000
3700410,161964513438422000
3703136,161963972548560000
3703434,161961899145790000
3704542,162132057274687000
3704701,161963681176717000
3704731,162132087876564000
3704801,162132095929690000
3704881,162132306921660000
3709215,162111736655716000
3709409,162111799466161000
3709479,161965630636413000
3710053,161965897863017000
3710214,162111588487536000
3710699,162111659350570000
3710930,162111673845284000
3711394,162132469594952000
3711437,162132482479968000
3711568,162132619383302000
3711723,162129689664569000
3711743,162129708991929000
3711849,162129770195242000
3715091,161478843049867000
3715341,162131851114752000
3715737,162131957415952000
3716188,162129597859627000
3717099,162111841339798000
3718642,162111907371313000
3718789,162111937971288000
3718991,162111999171246000
3719296,162112086139628000
3719781,161966561101082000
3719982,161966665738279000
3720078,161966672177492000
3720256,161966717251989000
3720484,162129844283478000
3721049,162129953805250000
3723363,162112369592294000
3723778,162112625666223000
3724026,162112722297947000
3724104,162112224644877000
3724255,162112297118578000
3724966,161626167040105000
3724990,161626413081071000
3725237,161629946121353000
3726174,161624216408221000
3726901,161966775204922000
3726984,161966883061797000
3727030,161966916867690000
3727069,161966950673588000
3727214,162133249139384000
3727861,161967573668610000
3728094,161967485129193000
3728133,161641548980890000
3728345,161643142697937000
3728413,161643652496068000
3728750,161966005719600000
3728847,161966037915602000
3728893,161966068501807000
3728956,161966082990010000
3729067,161966256848500000
3729091,161966316411152000
3729141,161966416218864000
3729395,161787386508769000
3729427,161787590840672000
3729606,161791667852222000
3729681,161794147228091000
3729729,161803781738534000
3731312,161967731429814000
3731450,161967898849951000
3731520,161968146760697000
3731567,161968195055020000
3731624,161968331888975000
3731741,162112872077175000
3731827,162112881740354000
3731927,161967662208052000
3732283,161321422763218000
3732584,161478087583463000
3732735,161622743391449000
3733146,161630562035377000
3735058,162112997698517000
3735222,162113017024882000
3735295,162113089498759000
3735400,162113094330352000
3735702,161642877345916000
3736143,162113281151980000
3736415,161807453482833000
3736599,161809675535879000
3737319,161943796070208000
3740712,161460752526091000
3742246,162111334024948000
3742694,162111358182780000
3742762,161313966648810000
3743091,162111375898525000
3743187,162111445150990000
3743247,162111451593081000
3743427,162111577213872000
3746031,162113374562835000
3746722,162113532395030000
3747158,162113554942492000
3747673,162116508673659000
3749829,162109084133420000
3750345,162109597886803000
