id;edadEgresado;generoEgresado;celularPrincipalEgresado;emailEgresado;nivelVinculacionEgresado;indiceRelacionamiento;indiceRelacionamientoEstandarizado;idPerfilPractica;idPerfilPersonal;idPerfilGrado
32130;35;M;1;1;Alta;0.0;0.0;-1;40518;-1
2435;42;F;0;1;Baja;0.0;0.0;-1;-1;-1
33268;37;M;1;1;Media;0.0;0.0;-1;41584;-1
28531;38;M;0;1;Baja;0.0;0.0;-1;37208;-1
3458;38;M;1;1;Baja;0.0;0.0;-1;14124;-1
24387;41;M;1;1;Alta;0.0;0.0;-1;33331;-1
8042;62;M;1;1;Baja;0.0;0.0;-1;18245;-1
19799;-1;M;0;1;Baja;0.0;0.0;-1;29045;-1
36900;35;F;1;1;Baja;0.0;0.0;2352;44948;-1
23796;38;F;1;1;Media;0.0;0.0;-1;32778;-1
15771;36;M;1;1;Media;0.0;0.0;-1;25351;-1
21244;49;F;1;1;Media;0.0;0.0;-1;30399;-1
17431;25;M;1;1;Media;0.0;0.0;-1;26886;-1
33869;32;F;1;1;Media;0.0;0.0;-1;42136;-1
15585;36;M;1;1;Baja;0.0;0.0;-1;25182;-1
40434;31;F;1;1;Media;0.0;0.0;-1;48183;-1
23200;58;M;0;1;Baja;0.0;0.0;-1;32230;-1
4912;38;F;1;1;Alta;0.0;0.0;-1;15417;-1
32006;41;F;1;1;Baja;0.0;0.0;-1;40406;-1
34664;46;F;1;1;Baja;0.0;0.0;-1;42879;-1
27004;54;F;1;1;Baja;0.0;0.0;-1;35774;-1
27660;41;F;1;1;Baja;0.0;0.0;-1;36393;-1
14895;45;F;1;1;Baja;0.0;0.0;-1;24550;-1
37411;47;M;0;1;Baja;0.0;0.0;-1;45396;-1
41041;25;M;1;1;Alta;0.0;0.0;-1;48734;-1
19661;57;F;0;0;Baja;0.0;0.0;-1;28918;-1
32128;54;M;1;1;Baja;0.0;0.0;-1;40516;-1
7703;25;M;1;1;Media;0.0;0.0;-1;17939;-1
25293;29;F;1;1;Media;0.0;0.0;-1;34172;-1
