id;beneficiarioQE;gradoEgresado;nivelGrado;semestreGrado
2987;0;Maestro en Textiles;Pregrado;2001-10
2417;0;Historiador;Pregrado;2007-20
669;0;Politólogo;Pregrado;2013-20
2284;0;Físico;Pregrado;2015-10
1346;0;Magíster en Periodismo;Maestría;2016-10
821;0;Psicólogo;Pregrado;2011-20
802;0;Arquitecto;Pregrado;2006-10
703;0;Especialista en Tributación;Especialización;1991-10
2132;0;Magíster en Ciencias Biológicas. Area: Microbiología;Maestría;2008-20
1927;0;Químico;Pregrado;2016-20
56;0;Mag?ster en Ciencias Biol?gicas. Area: Biolog?a;Maestr?a;2017-10
2622;0;Politólogo;Pregrado;1972-10
2047;0;Politólogo;Pregrado;2013-10
2591;0;CICLO BAS.PROG.ESTUD.MUSICALES;Intermedio;1990-10
330;0;Dise?ador;PROFESIONAL;2018-10
2280;0;Físico;Pregrado;2015-20
2787;0;Bacteriólogo;Pregrado;2004-20
1466;0;Magíster en Ciencias Biológicas. Area: Microbiología;Maestría;2008-10
1102;0;Biólogo;Pregrado;1985-10
1968;0;Magíster en Derecho;Maestría;2004-20
2137;0;Politólogo;Pregrado;1972-20
359;0;Maestro en Arte. Concentraci?n: Proyectos Culturales;PROFESIONAL;2018-10
826;0;Especialista en Finanzas;Especialización;1995-20
2144;0;Politólogo;Pregrado;2001-20
692;D;Abogado;Pregrado;2011-10
105;0;Mag?ster en Geograf?a;Maestr?a;2017-10
1319;D;Abogado;Pregrado;1982-10
3179;0;Biólogo;Pregrado;2014-10
279;0;Arquitecto;Pregrado;2018-10
1156;0;Arquitecto;Pregrado;1977-10
2250;0;Físico;Pregrado;2003-10
2375;0;Diseñador Industrial;Pregrado;2011-20
2484;0;Historiador;Pregrado;2007-10
2579;0;Músico con Enfasis en Instrumento - Violín;Pregrado;2013-10
1406;0;Maestro en Arte. Concentración: Artes Plásticas;Pregrado;2008-20
2229;0;Politólogo;Pregrado;2001-10
852;0;Arquitecto;Pregrado;2006-20
