id;paisResidenciaActual;estadoResidenciaActual;ciudadResidenciaActual;empresaActual;cargoActual;donante;profesor;fechaActualizacion;fechaExpiracion
4987; Colombia; Cundinamarca; Bogot? D.C.; bbea Fiducion; TRADEER;D;D;01/01/2013;01/01/2099
1151;NA;NA;NA; Ehealth Solutions; Gerente T?cnico;D;D;01/08/2010;01/01/2099
6569;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ARQUITECTO DE PROYECTOS;0;0;5/29/2015;01/01/2999
3758; Colombia; Cundinamarca; Bogot? D.C.; Kimberly; Cordinado De Atencion Al Cliente;D;D;01/01/2012;01/01/2099
5592;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;CONSULTOR SENIOR;0;0;11/21/2016;01/01/2999
1837; Colombia; Cundinamarca; Bogot? D.C.; Club El Nogal/?rea Cultural; Asistente De Biblioteca Y Galer?a;D;D;01/01/2010;01/01/2099
4780; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Gestora Academica De Lenguaje;D;D;01/01/2013;01/01/2099
5874;COLOMBIA;VALLE;CALI;NA;NA;0;0;11/15/2016;01/01/2999
6012;ESTADOS UNIDOS;Distrito De Columbia;WASHINGTON D.C.;NA;ESPECIALISTA LIDER EN EDUCACION;0;0;12/1/2016;01/01/2999
5180;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;EJECUTIVO DE CUENTA;0;0;1/16/2012;01/01/2999
6138;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NA;NA;0;0;2/1/2012;01/01/2999
5857;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;MEDICO RURAL;0;0;4/23/2015;01/01/2999
1409;NA;NA;NA; Gm Colmotores; Analista Seguimiento;D;D;01/08/2010;01/01/2099
6451;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;INGENIERO DE VENTAS;0;0;10/22/2015;01/01/2999
1170;NA;NA;NA; Coendustrial Ltda; Ingeniera De Apoyo A Licitaciones;D;D;01/08/2010;01/01/2099
5343;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ASESOR;0;0;2/14/2014;01/01/2999
352; Colombia; Cundinamarca; Bogot? D.C.; Armor International S.A.; Dise?adora;D;D;01/08/2009;01/01/2099
666; Colombia; Cundinamarca; Bogot? D.C.; Planes Consultores; Consultor;D;D;01/01/2009;01/01/2099
6036;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;8/13/2015;01/01/2999
6911;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;JEFE DEL AREA ADMINISTRATIVA Y FINANCIERA;0;0;8/25/2015;01/01/2999
6051;COLOMBIA;ANTIOQUIA;MEDELLIN;NA;CONSULTOR DE SEGUROS;0;0;7/9/2015;01/01/2999
4642;NA;NA;NA; Avianca; Analista Control Gesti?n;D;D;01/01/2013;01/01/2099
6106;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;SECRETARIA GENERAL;0;0;2/25/2011;01/01/2999
6776;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;DIRECTOR DE PROYECTOS;0;0;10/4/2016;01/01/2999
325; Colombia; Cundinamarca; Bogot? D.C.; Corficolombiana; Analista De Inversiones;D;D;01/08/2009;01/01/2099
2039; Colombia; Cundinamarca; Bogot? D.C.; Gm Colmotores; Coordinador De Planeacion Logistica;D;D;01/08/2011;01/01/2099
4548; Colombia; Cundinamarca; Bogot? D.C.; Proxinity; Ingeniero De Sanidad;D;D;01/08/2013;01/01/2099
5977;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ASISTENTE ADMINISTRATIVO;0;0;1/29/2016;01/01/2999
6381;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NA;PROFESIONAL DE DESARROLLO;0;0;5/26/2016;01/01/2999
591; Colombia; Cundinamarca; Bogot? D.C.; ACADEMIA DE ARTES GUERRERO; DOCENTE;D;D;01/01/2009;01/01/2099
3354; Colombia; Cundinamarca; Bogot? D.C.; Ajover; Analista Financiero;D;D;01/08/2012;01/01/2099
4165; Colombia; Cundinamarca; Bogot? D.C.; FEDERACION NACIONAL DE DEPARTAMENTOS; ASESOR REGIONAL;D;D;01/08/2013;01/01/2099
1831; Colombia; Cundinamarca; Bogot? D.C.; Delacarreracavanzo Ltda; Arquitecto;D;D;01/01/2010;01/01/2099
5826;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;10/8/2014;01/01/2999
6671;FRANCIA;RHONE-ALPES;GRENOBLE;NA;STAGIAIRE;0;0;10/21/2013;01/01/2999
5861;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;GERENTE COMERCIAL;0;0;8/19/2016;01/01/2999
2689; Colombia; Cundinamarca; Bogot? D.C.; INDEPENDIENTE; GERENTE;D;D;01/01/2011;01/01/2099
6627;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;DIRECTOR LATINOAMERICA Y CANADA;0;0;9/30/2016;01/01/2999
6309;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;DOCENTE AUXILIAR;0;0;5/6/2016;01/01/2999
2508;NA; Cundinamarca; Bogot? D.C.; COLEGIO ANGLOCOLOMBIANO; PROFESORA DE PREESCOLAR;D;D;01/01/2011;01/01/2099
6347;COLOMBIA;CUNDINAMARCA;CAJICA;NA;DOCENTE;0;0;11/10/2014;01/01/2999
3603; Colombia; Cundinamarca; Bogot? D.C.; Alcira Palacios G?mez; Gerente Mercade?;D;D;01/01/2012;01/01/2099
3631; Colombia; Cundinamarca; Bogot? D.C.; Sophos Banking S. A. S.; Implementation Consultant;D;D;01/01/2012;01/01/2099
3921; Colombia; Cundinamarca; Bogot? D.C.; David Delgado Arquitectos Sas; arquitecto Corabolador;D;D;01/01/2012;01/01/2099
2628; Colombia; Cundinamarca; Bogot? D.C.; HALLIBURTON LATIN AMERICA SA; INGENIERO DE LODO;D;D;01/01/2011;01/01/2099
2171; Colombia; Cundinamarca; Bogot? D.C.; Ingenier?a Strycon; Ingeniera De Procesos;D;D;01/08/2011;01/01/2099
2290; Colombia; Cundinamarca; Bogot? D.C.; World Tours; Asistente De Turismo;D;D;01/08/2011;01/01/2099
5187;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ASESOR;0;0;11/25/2016;01/01/2999
